country,production_kt_2024,share_pct
Australia,88.0,36.7
Chile,56.9,23.7
China,41.0,17.1
Zimbabwe,22.0,9.2
Argentina,18.0,7.5
Brazil,10.0,4.2
Canada,4.3,1.8
